folder,models,model_count,file_count,docx_count,doc_count,pdf_count,image_count,parts_count,status,errors
YT-84970,YT-84970,1,1,0,0,0,1,0,drawing-only,
YT-23701,YT-23701,1,4,1,1,1,1,24,parts-from-docx,
YT-17213,YT-17213,1,4,1,1,1,1,50,parts-from-docx,
YT-79955,YT-79955,1,6,2,0,2,1,98,parts-from-docx,
YT-82132,YT-82132,1,2,1,0,0,0,9,parts-from-docx,
YT-23306 YT-23311,YT-23306 YT-23311,2,8,4,1,1,1,95,parts-from-docx,
YT-84770,YT-84770 84770,2,3,1,0,0,1,63,parts-from-docx,
YT-21758,YT-21758,1,3,1,0,1,0,46,parts-from-docx,
YT-82181,YT-82181,1,3,2,0,0,1,94,parts-from-docx,
YT-30520,YT-30520,1,6,2,0,2,1,15,parts-from-docx,
YT-84797,YT-84797,1,6,2,0,1,2,71,parts-from-docx,
YT-82206,YT-82206,1,4,2,0,1,0,88,parts-from-docx,
