model,title,currentBrand,suggestedBrand,suggestionReason,bucket,previewUrl,fileId
67034,Czesci_zamienne_67034.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1Tie2PNeQSfDNL44ymrVTpHSTX9ibE9Bn/preview,1Tie2PNeQSfDNL44ymrVTpHSTX9ibE9Bn
67090,Czesci_zamienne_67090.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/14WCUhH1H_KPdEA7loRkMULL5ky81RfjS/preview,14WCUhH1H_KPdEA7loRkMULL5ky81RfjS
67091,Czesci_zamienne_67091.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1TEVNQLD2nBlq59C8ifhx4CCY6dAm9KHV/preview,1TEVNQLD2nBlq59C8ifhx4CCY6dAm9KHV
67092,Czesci_zamienne_67092.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/17yqyOAsQzQibGCNYcZ6cJ6VAWBPaBTGb/preview,17yqyOAsQzQibGCNYcZ6cJ6VAWBPaBTGb
67110,Czesci_zamienne_67110.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1Bls_G_AkABNpeTVRY_thcuuQS8m_tPQo/preview,1Bls_G_AkABNpeTVRY_thcuuQS8m_tPQo
67111,Czesci_zamienne_67111.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1ktJ7KmlxDQS5XQQA7VunY2_Oro5clMdQ/preview,1ktJ7KmlxDQS5XQQA7VunY2_Oro5clMdQ
67112,Czesci_zamienne_67112.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1opQ0Jboga9vrY3dfCMoy7KRI83l3Y82O/preview,1opQ0Jboga9vrY3dfCMoy7KRI83l3Y82O
67113,Czesci_zamienne_67113.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1dVIGzYk4NPHLfogE4yIMQNAYo839Fxm7/preview,1dVIGzYk4NPHLfogE4yIMQNAYo839Fxm7
67120,Czesci_zamienne_67120.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1kziacb43TsXzvpQWXUwY8wE0HP2JSFK5/preview,1kziacb43TsXzvpQWXUwY8wE0HP2JSFK5
67121,Czesci_zamienne_67121.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1wobCpeyb2fEkwk0TVYbKWMlTKWrNhroZ/preview,1wobCpeyb2fEkwk0TVYbKWMlTKWrNhroZ
67125,Czesci_zamienne_67125.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1I9MZzQQnxW70O6pUcNDMjqYgdxz-BsTB/preview,1I9MZzQQnxW70O6pUcNDMjqYgdxz-BsTB
67180,Czesci_zamienne_67180.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1Tjg50-gsmQzJas0WRUTRIhyDJEHJFSdc/preview,1Tjg50-gsmQzJas0WRUTRIhyDJEHJFSdc
67200,Czesci_zamienne_67200.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1qvlK8vbXl1IEiaZ9juThIyEklwp6SZ93/preview,1qvlK8vbXl1IEiaZ9juThIyEklwp6SZ93
67201,Czesci_zamienne_67201.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/10ZpYB3RRu0DnHXRTA6IxUTJoWDzy1ek3/preview,10ZpYB3RRu0DnHXRTA6IxUTJoWDzy1ek3
67220,Czesci_zamienne_67220.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1mrPc40HKLqOT_u0gsDC66IZMqnRrcllI/preview,1mrPc40HKLqOT_u0gsDC66IZMqnRrcllI
67221,Czesci_zamienne_67221.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1lOIm0ASXmk37_ILBcABDvhJh0dlGEVcY/preview,1lOIm0ASXmk37_ILBcABDvhJh0dlGEVcY
67230,Czesci_zamienne_67230.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1LdOkwP3oc-d4DWlDmSUdAu09ApyQIqT4/preview,1LdOkwP3oc-d4DWlDmSUdAu09ApyQIqT4
67231,Czesci_zamienne_67231.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1Z3nO2n4ruU2hwWFOerRibzEneLvvP8N2/preview,1Z3nO2n4ruU2hwWFOerRibzEneLvvP8N2
67292,Czesci_zamienne_67292.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1__fgv7vSlq97m5YZV2Lp_nHMxJYLl7Er/preview,1__fgv7vSlq97m5YZV2Lp_nHMxJYLl7Er
67293,Czesci_zamienne_67293.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/10twZS_cA4zlwgCNqYDFYROtsP98VTR8k/preview,10twZS_cA4zlwgCNqYDFYROtsP98VTR8k
67420,Czesci_zamienne_67420.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1x1USizZGfpydDrV6T4tULLQKhxMbN22h/preview,1x1USizZGfpydDrV6T4tULLQKhxMbN22h
67422,Czesci_zamienne_67422.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1TrckZn5ZFmka8PjN5t4XVOjgtkUKKf-C/preview,1TrckZn5ZFmka8PjN5t4XVOjgtkUKKf-C
67423,Czesci_zamienne_67423.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1RikedlfhILHopXQikmR3DZSC2137TBbU/preview,1RikedlfhILHopXQikmR3DZSC2137TBbU
67424,Czesci_zamienne_67424.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/16qAkCkxwMp0OhjmfwwTLel-XTtLlTmf5/preview,16qAkCkxwMp0OhjmfwwTLel-XTtLlTmf5
67450,Czesci_zamienne_67450.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1ElhfEiWY8sjbRg48glvt7gBddg4zsPHT/preview,1ElhfEiWY8sjbRg48glvt7gBddg4zsPHT
67451,Czesci_zamienne_67451.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1CHuaVDlHEtICS35co8zE86qOuqyJUgY5/preview,1CHuaVDlHEtICS35co8zE86qOuqyJUgY5
67453,Czesci_zamienne_67453.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1NaxUTvQNijcsNu4g7E0ZcJ-vdGM-wJXb/preview,1NaxUTvQNijcsNu4g7E0ZcJ-vdGM-wJXb
67455,Czesci_zamienne_67455.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1CPd1eDTK4dXDYoxm8n5qJ4RGQ9eLOJOy/preview,1CPd1eDTK4dXDYoxm8n5qJ4RGQ9eLOJOy
67456,Czesci_zamienne_67456.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1EOGM6eFaoES5wZCPGtw2PX5wjfsDRFU0/preview,1EOGM6eFaoES5wZCPGtw2PX5wjfsDRFU0
67457,Czesci_zamienne_67457.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/11JTaudD5kYRSzWGIe1ra7PNFQytk4sqQ/preview,11JTaudD5kYRSzWGIe1ra7PNFQytk4sqQ
67458,Czesci_zamienne_67458.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1x_rK2tqIAk0iooFu3Qc6zv8jrVOrUdEq/preview,1x_rK2tqIAk0iooFu3Qc6zv8jrVOrUdEq
67460,Czesci_zamienne_67460.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1nKtVeFvITUUr88b9l-CmfOaZ8sDP-SVQ/preview,1nKtVeFvITUUr88b9l-CmfOaZ8sDP-SVQ
67470,Czesci_zamienne_67470.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1Xh6OKt4zkh58bqTn_fgpaQYH3aQ7hcbT/preview,1Xh6OKt4zkh58bqTn_fgpaQYH3aQ7hcbT
67480,Czesci_zamienne_67480.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1sKjbivYPklV1hKypUoYb214lDF6Zkizm/preview,1sKjbivYPklV1hKypUoYb214lDF6Zkizm
67500,Czesci_zamienne_67500.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1XeY6KEeeRqkkU8ZbhSbx0oGUFQJuivX1/preview,1XeY6KEeeRqkkU8ZbhSbx0oGUFQJuivX1
67501,Czesci_zamienne_67501.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1a7ssh8dRqixUDcJbZbk7gcXMCceJUeMN/preview,1a7ssh8dRqixUDcJbZbk7gcXMCceJUeMN
67520,Czesci_zamienne_67520.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1fk-rJYvgA4LFS75ixN1wD7f7XiSLIKqB/preview,1fk-rJYvgA4LFS75ixN1wD7f7XiSLIKqB
67521,Czesci_zamienne_67521.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1gPLCrOFgGHCzUUKUdf_xzrhWBbpodc-Y/preview,1gPLCrOFgGHCzUUKUdf_xzrhWBbpodc-Y
67522,Czesci_zamienne_67522.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1tvRNsXaT_ncjTMWHtGDSPQptnKrortk8/preview,1tvRNsXaT_ncjTMWHtGDSPQptnKrortk8
67523,Czesci_zamienne_67523.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1iOzqHKHKYX1j4GwzPOVoA4DE9SdkojIi/preview,1iOzqHKHKYX1j4GwzPOVoA4DE9SdkojIi
67525,Czesci_zamienne_67525.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1CMZxpn8PPcXEDtd309crEJHPXxEPjcJ8/preview,1CMZxpn8PPcXEDtd309crEJHPXxEPjcJ8
67526,Czesci_zamienne_67526.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1ROEus6Hj2_a6k5ovf885hbRxddvTEOS5/preview,1ROEus6Hj2_a6k5ovf885hbRxddvTEOS5
67527,Czesci_zamienne_67527.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1Gae7jSYcLo-OX8ljgXP2wa-J6GjdUMGX/preview,1Gae7jSYcLo-OX8ljgXP2wa-J6GjdUMGX
67528,Czesci_zamienne_67528.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1SkPrQlhKATw2npL3K7-G8iZ-r0bBMgla/preview,1SkPrQlhKATw2npL3K7-G8iZ-r0bBMgla
67530,Czesci_zamienne_67530.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/107P3K9LVKmlcZ75PERol20MGUp7lCVLZ/preview,107P3K9LVKmlcZ75PERol20MGUp7lCVLZ
67570,Czesci_zamienne_67570.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1-QaRqH4AxnJDNtQ6TFTroC2VOoqQ-WkK/preview,1-QaRqH4AxnJDNtQ6TFTroC2VOoqQ-WkK
67571,Czesci_zamienne_67571.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1l82F8lB56jUvSqNKTIauSaP8ujv0BJUC/preview,1l82F8lB56jUvSqNKTIauSaP8ujv0BJUC
67572,Czesci_zamienne_67572.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/18X_T8GOtbQmYtScy-C2PiP-Q6Y5u5uVu/preview,18X_T8GOtbQmYtScy-C2PiP-Q6Y5u5uVu
67573,Czesci_zamienne_67573.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1-Blni_kcMGteygyEv4mpkN1ug5Lwseex/preview,1-Blni_kcMGteygyEv4mpkN1ug5Lwseex
67574,Czesci_zamienne_67574.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1cUE2ofqAodMCxGymyBtHVqrdiQkrao_w/preview,1cUE2ofqAodMCxGymyBtHVqrdiQkrao_w
67575,Czesci_zamienne_67575.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/14biI7mjXpj5X-RCs-K2cqWvXHE2Ym3_q/preview,14biI7mjXpj5X-RCs-K2cqWvXHE2Ym3_q
67576,Czesci_zamienne_67576.pdf,DO ROZPOZNANIA,LUND? / INNE?,"Dużo modeli 67xxx/68xxx; brak twardego seedu, do potwierdzenia wizualnie/źródłem.",67xxx,https://drive.google.com/file/d/1_cbMX79Ul9snUhrtKcN1_UIJ3MxfZ0SL/preview,1_cbMX79Ul9snUhrtKcN1_UIJ3MxfZ0SL
